date,Open,High,Low,Close,Value,Volume
2025-08-18,1.24,1.24,1.18,1.18,28420.0,23683.333333333336
2025-08-19,1.18,1.18,1.18,1.18,1180.0,1000.0
2025-08-20,1.24,1.24,1.17,1.17,170450.0,142835.19553072625
2025-08-22,1.19,1.19,1.19,1.19,3570.0,3000.0
2025-08-26,1.17,1.19,1.17,1.19,84780.0,71645.07042253521
2025-08-28,1.17,1.17,1.17,1.17,8190.0,7000.0
2025-08-29,1.17,1.17,1.17,1.17,117000.0,100000.0
2025-09-08,1.19,1.19,1.17,1.17,8230.0,6994.334277620397
2025-09-09,1.18,1.18,1.18,1.18,2360.0,2000.0
2025-09-10,1.17,1.17,1.17,1.17,1170.0,1000.0000000000001
2025-09-11,1.21,1.24,1.21,1.21,27110.0,22221.311475409835
2025-09-12,1.21,1.21,1.16,1.16,236180.0,200719.5467422096
2025-09-15,1.17,1.18,1.17,1.17,175800.0,149829.54545454547
2025-09-16,1.17,1.17,1.17,1.17,12870.0,11000.0
2025-09-17,1.17,1.23,1.16,1.23,413330.0,342538.6740331492
2025-09-18,1.23,1.23,1.22,1.22,15960.0,13046.321525885558
2025-09-22,1.21,1.21,1.21,1.21,2420.0,2000.0
2025-09-23,1.17,1.21,1.17,1.17,70400.0,59492.957746478874
2025-09-24,1.22,1.22,1.19,1.19,4790.0,3991.666666666667
2025-09-25,1.2,1.2,1.2,1.2,1200.0,1000.0
2025-09-29,1.17,1.18,1.17,1.18,64670.0,54960.339943342784
2025-09-30,1.2,1.2,1.2,1.2,6000.0,5000.0
2025-10-01,1.18,1.18,1.17,1.17,121010.0,103133.52272727275
2025-10-03,1.17,1.17,1.17,1.17,1170.0,1000.0000000000001
2025-10-07,1.19,1.19,1.19,1.19,1190.0,1000.0
2025-10-08,1.19,1.2,1.19,1.2,11930.0,9969.359331476324
2025-10-15,1.17,1.17,1.17,1.17,58500.0,50000.0
2025-10-16,1.17,1.18,1.17,1.18,32870.0,27934.844192634566
2025-10-20,1.17,1.17,1.17,1.17,3510.0,3000.0
2025-10-22,1.17,1.17,1.16,1.17,26890.0,23048.571428571428
2025-10-23,1.17,1.17,1.17,1.17,14040.0,12000.0
2025-10-24,1.16,1.16,1.16,1.16,19720.0,17000.0
2025-10-30,1.17,1.17,1.17,1.17,23400.0,20000.0
2025-11-05,1.18,1.2,1.18,1.2,47640.0,39921.78770949721
2025-11-06,1.23,1.23,1.23,1.23,8610.0,7000.0
2025-11-07,1.17,1.17,1.15,1.15,89070.0,77005.76368876082
2025-11-10,1.15,1.15,1.15,1.15,13800.0,12000.000000000002
2025-11-17,1.16,1.16,1.16,1.16,1160.0,1000.0000000000001
2025-11-18,1.16,1.16,1.16,1.16,8120.0,7000.000000000001
2025-11-19,1.15,1.15,1.15,1.15,115000.0,100000.00000000001
2025-11-20,1.15,1.15,1.15,1.15,11500.0,10000.0
2025-11-21,1.16,1.16,1.16,1.16,13920.0,12000.0
2025-11-24,1.16,1.16,1.15,1.15,14980.0,12988.439306358385
2025-11-26,1.15,1.15,1.15,1.15,328900.0,286000.0
2025-11-27,1.19,1.26,1.19,1.24,161170.0,131032.52032520324
2025-11-28,1.24,1.24,1.24,1.24,2480.0,2000.0
2025-12-02,1.17,1.17,1.17,1.17,5850.0,5000.0
2025-12-03,1.23,1.23,1.23,1.23,14760.0,12000.0
2025-12-04,1.23,1.23,1.18,1.18,14410.0,12041.782729805014
2025-12-05,1.18,1.18,1.17,1.17,242430.0,206616.47727272732
2025-12-09,1.18,1.18,1.16,1.16,37440.0,32091.42857142857
2025-12-10,1.16,1.16,1.16,1.16,4640.0,4000.0000000000005
2025-12-11,1.17,1.17,1.16,1.16,94130.0,80914.04011461318
2025-12-12,1.17,1.17,1.16,1.16,85340.0,73358.16618911175
2025-12-15,1.16,1.17,1.16,1.17,137880.0,118182.85714285713
2025-12-16,1.16,1.16,1.15,1.15,339550.0,294407.51445086714
2025-12-17,1.17,1.18,1.17,1.17,38820.0,33085.22727272728
2025-12-18,1.24,1.35,1.24,1.35,306860.0,233649.74619289342
2025-12-19,1.35,1.37,1.3,1.31,51530.0,38841.70854271357
2025-12-22,1.31,1.57,1.31,1.46,3314440.0,2291087.557603687
2025-12-23,1.46,1.46,1.36,1.36,109050.0,78265.55023923444
2025-12-26,1.34,1.38,1.3,1.38,20140.0,14881.773399014779
2025-12-29,1.38,1.39,1.38,1.39,34610.0,24959.134615384617
2026-01-02,1.39,1.39,1.38,1.39,11080.0,7990.384615384616
2026-01-05,1.39,1.45,1.3,1.35,189680.0,138790.24390243905
2026-01-07,1.38,1.38,1.38,1.38,1380.0,1000.0000000000001
2026-01-08,1.38,1.38,1.38,1.38,34500.0,25000.000000000004
2026-01-09,1.43,1.48,1.43,1.47,1224410.0,838636.9863013698
2026-01-12,1.48,1.48,1.47,1.47,275200.0,186787.33031674207
2026-01-13,1.45,1.46,1.45,1.46,119040.0,81720.823798627
2026-01-14,1.45,1.45,1.4,1.4,18530.0,13080.0
2026-01-15,1.4,1.41,1.25,1.25,273610.0,209930.94629156007
2026-01-19,1.39,1.42,1.39,1.4,156040.0,111192.39904988125
2026-01-23,2.1,2.1,1.8,2.1,38371810.0,19185905.0
