date,Open,High,Low,Close,Value,Volume
2025-08-18,16.4,16.94,16.36,16.4,1521478.0,91839.71830985916
2025-08-19,16.5,16.54,16.4,16.46,3329860.0,202218.2186234818
2025-08-20,16.46,16.5,16.44,16.44,2198186.0,133547.14459295262
2025-08-22,16.44,16.86,16.44,16.76,546742.0,32765.20175789053
2025-08-26,16.5,16.5,16.34,16.38,5379206.0,327867.08655018284
2025-08-27,16.38,16.5,16.38,16.5,2534518.0,153980.43742405836
2025-08-28,16.5,16.52,16.34,16.4,1335038.0,81305.60292326432
2025-08-29,16.42,16.5,16.4,16.4,981040.0,59698.17444219067
2025-09-01,16.4,16.6,16.4,16.44,548554.0,33286.04368932039
2025-09-02,16.6,16.6,16.44,16.58,4349130.0,262946.19105199515
2025-09-03,16.58,16.58,16.42,16.44,1148174.0,69670.75242718446
2025-09-04,16.44,16.56,16.4,16.5,3302934.0,200339.70885564096
2025-09-05,16.5,16.54,16.24,16.5,2737596.0,166655.60064935067
2025-09-08,16.5,16.52,16.36,16.4,1675760.0,102014.61038961039
2025-09-09,16.5,16.5,16.2,16.26,3855666.0,236254.044117647
2025-09-10,16.28,16.3,16.14,16.18,6191192.0,382015.1378033731
2025-09-11,16.18,16.4,16.18,16.4,1089436.0,66727.39893834219
2025-09-12,16.22,16.56,16.22,16.5,939078.0,57167.89772727273
2025-09-15,16.6,16.6,16.26,16.3,1081798.0,66016.96501220505
2025-09-16,16.5,16.5,16.24,16.46,540272.0,32943.41463414634
2025-09-17,16.5,16.6,16.3,16.42,3021156.0,183768.6131386861
2025-09-18,16.42,16.5,16.4,16.48,5083642.0,308848.23815309844
2025-09-19,16.5,16.5,15.3,15.3,324460542.0,20666276.56050955
2025-09-22,15.6,15.8,15.02,15.4,38908498.0,2525432.583297274
2025-09-23,15.68,15.68,15.4,15.42,11324764.0,730629.9354838709
2025-09-24,15.48,15.58,15.36,15.42,12841010.0,830954.0552200172
2025-09-25,15.42,15.58,15.28,15.34,16371280.0,1063070.1298701297
2025-09-26,15.34,15.34,15.2,15.28,3858870.0,252654.08118725446
2025-09-29,15.28,15.34,15.04,15.28,5438664.0,357336.66228646523
2025-09-30,15.26,15.82,15.24,15.78,59807364.0,3830531.426131511
2025-10-01,15.62,15.84,15.6,15.84,5364562.0,340390.98984771577
2025-10-02,15.84,15.84,15.78,15.8,5701232.0,360685.2804723745
2025-10-03,15.84,15.84,15.74,15.82,1313954.0,83161.64556962026
2025-10-06,15.82,15.82,15.48,15.48,2194678.0,140744.63445917057
2025-10-07,15.8,15.8,15.48,15.5,2623254.0,168229.20051303974
2025-10-08,15.5,15.58,15.36,15.5,2764012.0,178553.74677002584
2025-10-09,15.5,15.5,15.28,15.3,3312010.0,215625.6510416667
2025-10-10,15.32,15.52,15.32,15.44,11751938.0,761793.7337942956
2025-10-13,15.44,15.52,15.36,15.42,1835790.0,118949.67602591794
2025-10-14,15.44,15.58,15.4,15.42,5541954.0,358315.9913793103
2025-10-15,15.42,15.44,15.14,15.14,2289640.0,150238.84514435695
2025-10-16,15.12,15.38,15.12,15.38,1163814.0,76099.43330427201
2025-10-17,15.38,15.4,15.2,15.26,1263988.0,82685.65198430004
2025-10-20,15.34,15.48,15.26,15.44,4561990.0,296361.41186660895
2025-10-21,15.4,15.44,15.16,15.4,1926158.0,125619.0
2025-10-22,15.4,15.5,15.16,15.22,1731304.0,113206.45161290321
2025-10-23,15.46,15.46,15.14,15.22,1503422.0,98434.43910955914
2025-10-24,15.22,15.46,15.2,15.24,3543942.0,231630.19607843139
2025-10-27,15.48,15.52,15.1,15.1,3622276.0,237682.1522309711
2025-10-28,15.2,15.46,15.12,15.24,1043038.0,68291.44478393714
2025-10-29,15.46,15.46,15.3,15.44,473178.0,30725.844155844155
2025-10-30,15.36,15.5,15.26,15.4,1127610.0,73284.87868284229
2025-11-03,15.4,15.4,15.2,15.2,740154.0,48481.703056768565
2025-11-04,15.3,15.36,15.1,15.12,2375816.0,156372.2685388328
2025-11-05,15.12,15.2,15.12,15.12,5661060.0,373749.5598591549
2025-11-06,15.12,15.18,15.08,15.18,2346312.0,154906.161971831
2025-11-07,15.18,15.2,15.08,15.2,3379424.0,222917.15039577833
2025-11-10,15.14,15.44,15.1,15.44,4134834.0,269780.3827751196
2025-11-11,15.4,15.4,15.14,15.18,1237520.0,81202.0997375328
2025-11-12,15.18,15.38,15.1,15.18,4030758.0,264832.9829172142
2025-11-13,15.18,15.38,15.14,15.38,2403308.0,157078.95424836598
