date,Open,High,Low,Close,Value,Volume
2025-08-18,2.13,2.26,2.11,2.22,1045170.0,475798.17905918055
2025-08-19,2.21,2.21,2.03,2.04,2518520.0,1203114.6496815288
2025-08-20,2.06,2.08,2.0,2.0,1480120.0,730322.3684210526
2025-08-22,2.0,2.0,1.89,2.0,1257270.0,640375.2122241087
2025-08-26,2.0,2.02,1.95,2.02,730580.0,365899.8330550918
2025-08-27,2.01,2.01,1.9,1.95,1070600.0,548088.7372013653
2025-08-28,1.95,1.95,1.92,1.93,210770.0,109018.96551724138
2025-08-29,1.95,1.95,1.91,1.91,205500.0,106845.75389948009
2025-09-01,1.91,1.98,1.91,1.95,336690.0,172957.19178082192
2025-09-02,1.99,2.07,1.99,2.02,635430.0,313534.53947368416
2025-09-03,2.03,2.07,1.99,2.0,1027880.0,508851.48514851485
2025-09-04,1.99,2.07,1.99,2.01,1342340.0,663429.9835255356
2025-09-05,2.05,2.05,1.9,1.91,2207400.0,1130068.2593856656
2025-09-08,1.9,1.97,1.9,1.94,586280.0,302726.3339070568
2025-09-09,1.98,1.98,1.94,1.94,106490.0,54517.06484641639
2025-09-10,1.94,1.97,1.94,1.97,33220.0,16948.979591836734
2025-09-11,1.97,2.0,1.95,1.98,499140.0,252516.0202360877
2025-09-12,1.99,1.99,1.93,1.95,405470.0,207224.87223168652
2025-09-15,1.94,1.94,1.8,1.82,1558060.0,840679.8561151079
2025-09-16,1.82,1.86,1.71,1.72,2684710.0,1522519.8487712664
2025-09-17,1.81,1.81,1.72,1.72,1021690.0,583822.8571428572
2025-09-18,1.73,1.83,1.73,1.82,640460.0,357133.82899628254
2025-09-19,1.83,1.86,1.76,1.78,437200.0,242888.88888888888
2025-09-22,1.77,1.8,1.76,1.8,418180.0,234055.9701492537
2025-09-23,1.83,1.83,1.78,1.82,116460.0,64342.54143646408
2025-09-24,1.82,1.82,1.73,1.74,304250.0,172542.53308128542
2025-09-25,1.74,1.75,1.68,1.7,999640.0,584584.7953216374
2025-09-26,1.72,1.72,1.68,1.72,139500.0,81738.28125
2025-09-29,1.74,1.81,1.68,1.8,972380.0,551444.2344045368
2025-09-30,1.8,1.82,1.68,1.82,343140.0,193500.0
2025-10-01,1.75,1.8,1.75,1.76,183500.0,103672.3163841808
2025-10-02,1.76,1.81,1.76,1.79,146340.0,81906.71641791044
2025-10-03,1.81,1.84,1.76,1.84,136350.0,75193.01470588235
